threshold,window_start,gateway_windows,batch_latency_ms,latency_ms_per_gateway_window
0.1,2020-07-08 19:40:00+00:00,3,7.2857,2.4285666666666668
0.1,2020-07-08 19:45:00+00:00,3,8.1303,2.7101
0.1,2020-07-08 19:50:00+00:00,3,7.7391,2.5797
0.1,2020-07-08 19:55:00+00:00,3,7.7171,2.572366666666667
0.1,2020-07-08 20:00:00+00:00,3,7.9825,2.660833333333333
0.1,2020-07-08 20:05:00+00:00,3,7.2502,2.4167333333333336
0.1,2020-07-08 20:10:00+00:00,3,8.1073,2.7024333333333335
0.1,2020-07-08 20:15:00+00:00,3,6.6662,2.2220666666666666
0.1,2020-07-08 20:20:00+00:00,3,9.7459,3.2486333333333337
0.1,2020-07-08 20:25:00+00:00,3,7.582,2.5273333333333334
0.1,2020-07-08 20:30:00+00:00,3,9.1805,3.060166666666667
0.1,2020-07-08 20:35:00+00:00,3,8.9375,2.9791666666666665
0.1,2020-07-08 20:40:00+00:00,3,9.5709,3.1903
0.1,2020-07-08 20:45:00+00:00,2,10.9522,5.4761
0.1,2020-07-08 20:50:00+00:00,2,7.9173,3.95865
0.1,2020-07-08 20:55:00+00:00,2,9.3782,4.6891
0.1,2020-07-08 21:00:00+00:00,2,7.659,3.8295
0.1,2020-07-08 21:05:00+00:00,2,8.6628,4.3314
0.1,2020-07-08 21:10:00+00:00,3,8.8266,2.9421999999999997
0.1,2020-07-08 21:15:00+00:00,3,9.1898,3.063266666666667
0.1,2020-07-08 21:20:00+00:00,2,7.5448,3.7724
0.1,2020-07-08 21:25:00+00:00,2,7.2556,3.6278
0.1,2020-07-08 21:30:00+00:00,2,8.1268,4.0634
0.1,2020-07-08 21:35:00+00:00,3,8.7554,2.9184666666666668
0.1,2020-07-08 21:40:00+00:00,1,7.2415,7.2415
0.1,2020-07-08 21:45:00+00:00,1,8.3972,8.3972
0.1,2020-07-08 21:50:00+00:00,2,7.3109,3.65545
0.1,2020-07-08 21:55:00+00:00,2,8.2709,4.13545
0.1,2020-07-08 22:00:00+00:00,2,7.9163,3.95815
0.1,2020-07-08 22:05:00+00:00,2,8.5702,4.2851
0.1,2020-07-08 22:10:00+00:00,2,9.0936,4.5468
0.1,2020-07-08 22:15:00+00:00,2,11.7078,5.8539
0.1,2020-07-08 22:20:00+00:00,2,10.0542,5.0271
0.1,2020-07-08 22:25:00+00:00,3,7.7207,2.573566666666667
0.1,2020-07-08 22:30:00+00:00,3,6.6044,2.2014666666666667
0.1,2020-07-08 22:35:00+00:00,3,8.3824,2.7941333333333334
0.1,2020-07-08 22:40:00+00:00,3,9.5898,3.1966
0.1,2020-07-08 22:45:00+00:00,2,8.9786,4.4893
0.1,2020-07-08 22:50:00+00:00,2,9.1241,4.56205
0.1,2020-07-08 22:55:00+00:00,3,8.5956,2.8651999999999997
0.1,2020-07-08 23:00:00+00:00,3,9.627,3.209
0.1,2020-07-08 23:05:00+00:00,3,7.1473,2.3824333333333336
0.1,2020-07-08 23:10:00+00:00,3,8.7939,2.9313000000000002
0.1,2020-07-08 23:15:00+00:00,3,7.2444,2.4148
0.1,2020-07-08 23:20:00+00:00,3,8.6187,2.8729
0.1,2020-07-08 23:25:00+00:00,2,7.5972,3.7986
0.1,2020-07-08 23:30:00+00:00,2,8.6666,4.3333
