split_type,threshold,method,strategy,bin,count,mean_predicted,observed_rate,min_predicted,max_predicted,abs_gap,weight,test_gateway
LOGO,0.1,sigmoid,equal_frequency,5.0,518,0.00223333840334408,0.003861003861003861,0.0021981750197676356,0.0022690457699008995,0.001627665457659781,0.1,00000f0c210281c4
LOGO,0.1,sigmoid,equal_frequency,6.0,518,0.0023125436196377003,0.005791505791505791,0.0022692110763968248,0.002358592127407827,0.003478962171868091,0.1,00000f0c210281c4
LOGO,0.1,sigmoid,equal_frequency,7.0,518,0.0024109265802466284,0.003861003861003861,0.002358641630022552,0.0024742659812418714,0.0014500772807572327,0.1,00000f0c210281c4
LOGO,0.1,sigmoid,equal_frequency,8.0,518,0.0025761123372384205,0.019305019305019305,0.002474412318555062,0.0027163212123822913,0.016728906967780885,0.1,00000f0c210281c4
LOGO,0.1,sigmoid,equal_frequency,9.0,518,0.003187394996177074,0.03667953667953668,0.002718109376312125,0.01028849380440107,0.03349214168335961,0.1,00000f0c210281c4
LOGO,0.1,isotonic,equal_width,0.0,5180,4.211531120166915e-06,0.008108108108108109,0.0,0.004524886877828055,0.008103896576987941,1.0,00000f0c210281c4
LOGO,0.1,isotonic,equal_frequency,0.0,5180,4.211531120166915e-06,0.008108108108108109,0.0,0.004524886877828055,0.008103896576987941,1.0,00000f0c210281c4
LOGO,0.1,uncalibrated,equal_width,0.0,15748,8.278947746293512e-05,0.010668021336042673,1.6416461288291076e-08,0.043635777347318126,0.010585231858579737,0.9999365039050099,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_width,1.0,1,0.11026749887841873,0.0,0.11026749887841873,0.11026749887841873,0.11026749887841873,6.34960949901581e-05,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_frequency,0.0,1575,9.304695918092007e-07,0.0038095238095238095,1.6416461288291076e-08,1.539865962226938e-06,0.0038085933399320004,0.10000634960949902,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_frequency,1.0,1575,2.128336293980733e-06,0.0038095238095238095,1.5399924595221115e-06,2.757687113329187e-06,0.003807395473229829,0.10000634960949902,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_frequency,2.0,1575,3.4949019220126553e-06,0.005079365079365079,2.758567697089682e-06,4.308710248551423e-06,0.005075870177443067,0.10000634960949902,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_frequency,3.0,1575,5.259089324143569e-06,0.0038095238095238095,4.309065000180664e-06,6.379936676658518e-06,0.003804264720199666,0.10000634960949902,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_frequency,4.0,1575,7.951787390487318e-06,0.012063492063492064,6.381443750576824e-06,9.801004578602862e-06,0.012055540276101577,0.10000634960949902,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_frequency,5.0,1574,1.2375052836262096e-05,0.01207115628970775,9.801578236733477e-06,1.55092260453077e-05,0.012058781236871489,0.09994285351450886,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_frequency,6.0,1575,1.989957800495618e-05,0.006984126984126984,1.551085030410687e-05,2.498587942294801e-05,0.006964227406122028,0.10000634960949902,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_frequency,7.0,1575,3.328026680536207e-05,0.012698412698412698,2.5002318911999387e-05,4.31318747197153e-05,0.012665132431607336,0.10000634960949902,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_frequency,8.0,1575,5.985726758943104e-05,0.015238095238095238,4.316760985085518e-05,8.55142387523409e-05,0.015178237970505807,0.10000634960949902,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_frequency,9.0,1575,0.0007526318629511154,0.03111111111111111,8.554727222971928e-05,0.11026749887841873,0.030358479248159993,0.10000634960949902,00000f0c210721f2
LOGO,0.1,sigmoid,equal_width,0.0,15749,0.0031495877006567914,0.010667343958346561,0.003147552315383634,0.006666900036810012,0.007517756257689769,1.0,00000f0c210721f2
LOGO,0.1,sigmoid,equal_frequency,0.0,1575,0.003147571928161002,0.0038095238095238095,0.003147552315383634,0.0031475850039886003,0.0006619518813628074,0.10000634960949902,00000f0c210721f2
LOGO,0.1,sigmoid,equal_frequency,1.0,1575,0.003147597630876537,0.0038095238095238095,0.003147585006702863,0.003147611134979677,0.0006619261786472725,0.10000634960949902,00000f0c210721f2
LOGO,0.1,sigmoid,equal_frequency,2.0,1575,0.003147626953639893,0.005079365079365079,0.003147611153874588,0.003147644415854267,0.0019317381257251865,0.10000634960949902,00000f0c210721f2
LOGO,0.1,sigmoid,equal_frequency,3.0,1575,0.0031476648086873247,0.0038095238095238095,0.003147644423466344,0.003147688859469469,0.0006618590008364848,0.10000634960949902,00000f0c210721f2
LOGO,0.1,sigmoid,equal_frequency,4.0,1575,0.0031477225881538034,0.012063492063492064,0.003147688891807934,0.003147762268856646,0.00891576947533826,0.10000634960949902,00000f0c210721f2
LOGO,0.1,sigmoid,equal_frequency,5.0,1574,0.0031478175041846084,0.01207115628970775,0.003147762281166365,0.0031478847598594714,0.008923338785523142,0.09994285351450886,00000f0c210721f2
LOGO,0.1,sigmoid,equal_frequency,6.0,1575,0.0031479789748748654,0.006984126984126984,0.0031478847947146297,0.003148088126998405,0.0038361480092521188,0.10000634960949902,00000f0c210721f2
LOGO,0.1,sigmoid,equal_frequency,7.0,1575,0.0031482661357144664,0.012698412698412698,0.0031480884797980236,0.0031484775730790155,0.009550146562698232,0.10000634960949902,00000f0c210721f2
