Accuracy,BalancedAcc,Precision,Recall,F1,ROC_AUC,PR_AUC,PositiveRate,PositiveCount,NegativeCount,valid_binary_test,threshold,train_samples,test_samples,feature_count,window,split_type,test_gateway,total_samples,overall_event_rate,test_event_rate,date_count
0.7809311224489796,0.7911925264529249,0.25878220140515223,0.8036363636363636,0.39149689991142606,0.8727069365447555,0.4112361065216419,0.08769132653061225,275,2861,1,0.1,38894,3136,33,15min,leave_one_gateway_out,00800000a0001793,42030,0.055270045205805376,0.08769132653061225,187
0.4656290531776913,0.6631082389649514,0.2080078125,0.9424778761061947,0.3408,0.7973579094601502,0.41861491310829335,0.14656290531776914,226,1316,1,0.1,40488,1542,33,15min,leave_one_gateway_out,00800000a0001794,42030,0.055270045205805376,0.14656290531776914,187
0.7785326086956522,0.8495231660733311,0.30022075055187636,0.9379310344827586,0.45484949832775917,0.9196528337187848,0.49837404765747695,0.09850543478260869,145,1327,1,0.1,40558,1472,33,15min,leave_one_gateway_out,00800000a0001914,42030,0.055270045205805376,0.09850543478260869,187
0.7286809326093899,0.7680183370052306,0.18838028169014084,0.8141304347826087,0.3059640522875817,0.847687266759588,0.35667735716901994,0.07345895879910572,920,11604,1,0.1,29506,12524,33,15min,leave_one_gateway_out,7276ff002e062804,42030,0.055270045205805376,0.07345895879910572,187
0.630229958479719,0.630229958479719,0.0,0.0,0.0,,,0.0,0,12524,0,0.2,29506,12524,33,15min,leave_one_gateway_out,0000024b0b031c97,42030,0.008422555317630264,0.0,187
1.0,1.0,0.0,0.0,0.0,,,0.0,0,1726,0,0.2,40304,1726,33,15min,leave_one_gateway_out,00000f0c210281c4,42030,0.008422555317630264,0.0,187
1.0,1.0,0.0,0.0,0.0,,,0.0,0,5250,0,0.2,36780,5250,33,15min,leave_one_gateway_out,00000f0c210721f2,42030,0.008422555317630264,0.0,187
0.6502860989565803,0.7298452832249107,0.13050993949870354,0.8206521739130435,0.22520507084265473,0.8314729879409058,0.2665871692144609,0.06193200942443622,184,2787,1,0.2,39059,2971,33,15min,leave_one_gateway_out,00000f0c22433141,42030,0.008422555317630264,0.06193200942443622,187
0.9186440677966101,0.9584295612009237,0.2087912087912088,1.0,0.34545454545454546,0.9824966573477574,0.5630682751632226,0.021468926553672316,19,866,1,0.2,41145,885,33,15min,leave_one_gateway_out,00000f0c224331c4,42030,0.008422555317630264,0.021468926553672316,187
0.9406887755102041,0.7498880722949657,0.13612565445026178,0.5531914893617021,0.2184873949579832,0.8553411900842385,0.17520071727222758,0.014987244897959183,47,3089,1,0.2,38894,3136,33,15min,leave_one_gateway_out,00800000a0001793,42030,0.008422555317630264,0.014987244897959183,187
0.7607003891050583,0.7248758278145695,0.05774278215223097,0.6875,0.10653753026634383,0.8162665562913907,0.1566443557209443,0.020752269779507133,32,1510,1,0.2,40488,1542,33,15min,leave_one_gateway_out,00800000a0001794,42030,0.008422555317630264,0.020752269779507133,187
0.9239130434782609,0.8847222222222222,0.20149253731343283,0.84375,0.3253012048192771,0.9566623263888888,0.32051994827899927,0.021739130434782608,32,1440,1,0.2,40558,1472,33,15min,leave_one_gateway_out,00800000a0001914,42030,0.008422555317630264,0.021739130434782608,187
0.5808847013733631,0.7274711630887536,0.006630043568857738,0.875,0.01316036849031773,0.8535905959628325,0.024908782419063663,0.0031938677738741618,40,12484,1,0.2,29506,12524,33,15min,leave_one_gateway_out,7276ff002e062804,42030,0.008422555317630264,0.0031938677738741618,187
