Accuracy,BalancedAcc,Precision,Recall,F1,ROC_AUC,PR_AUC,PositiveRate,PositiveCount,NegativeCount,valid_binary_test,threshold,train_samples,test_samples,feature_count,feature_setting,split_type,test_gateway
1.0,1.0,0.0,0.0,0.0,,,0.0,0,37574,0,0.2,72574,37574,2,delayed_radio_only,leave_one_gateway_out,0000024b0b031c97
1.0,1.0,0.0,0.0,0.0,,,0.0,0,5180,0,0.2,104968,5180,33,full_features,leave_one_gateway_out,00000f0c210281c4
0.9998069498069498,0.9998069498069498,0.0,0.0,0.0,,,0.0,0,5180,0,0.2,104968,5180,1,current_crc_only,leave_one_gateway_out,00000f0c210281c4
1.0,1.0,0.0,0.0,0.0,,,0.0,0,5180,0,0.2,104968,5180,32,without_current_crc,leave_one_gateway_out,00000f0c210281c4
1.0,1.0,0.0,0.0,0.0,,,0.0,0,5180,0,0.2,104968,5180,28,without_current_rolling_crc,leave_one_gateway_out,00000f0c210281c4
1.0,1.0,0.0,0.0,0.0,,,0.0,0,5180,0,0.2,104968,5180,26,without_all_crc,leave_one_gateway_out,00000f0c210281c4
1.0,1.0,0.0,0.0,0.0,,,0.0,0,5180,0,0.2,104968,5180,8,current_radio_only,leave_one_gateway_out,00000f0c210281c4
1.0,1.0,0.0,0.0,0.0,,,0.0,0,5180,0,0.2,104968,5180,2,delayed_radio_only,leave_one_gateway_out,00000f0c210281c4
1.0,1.0,0.0,0.0,0.0,,,0.0,0,15749,0,0.2,94399,15749,33,full_features,leave_one_gateway_out,00000f0c210721f2
0.9779668550384152,0.9779668550384152,0.0,0.0,0.0,,,0.0,0,15749,0,0.2,94399,15749,1,current_crc_only,leave_one_gateway_out,00000f0c210721f2
1.0,1.0,0.0,0.0,0.0,,,0.0,0,15749,0,0.2,94399,15749,32,without_current_crc,leave_one_gateway_out,00000f0c210721f2
1.0,1.0,0.0,0.0,0.0,,,0.0,0,15749,0,0.2,94399,15749,28,without_current_rolling_crc,leave_one_gateway_out,00000f0c210721f2
1.0,1.0,0.0,0.0,0.0,,,0.0,0,15749,0,0.2,94399,15749,26,without_all_crc,leave_one_gateway_out,00000f0c210721f2
1.0,1.0,0.0,0.0,0.0,,,0.0,0,15749,0,0.2,94399,15749,8,current_radio_only,leave_one_gateway_out,00000f0c210721f2
0.9998730078100196,0.9998730078100196,0.0,0.0,0.0,,,0.0,0,15749,0,0.2,94399,15749,2,delayed_radio_only,leave_one_gateway_out,00000f0c210721f2
0.5936400937866354,0.7229314646147575,0.25083892617449666,0.905146316851665,0.3928180424786512,0.8242568164050775,0.4800928641244912,0.14522274325908557,991,5833,1,0.2,103324,6824,33,full_features,leave_one_gateway_out,00000f0c22433141
0.14522274325908557,0.3596947359079305,0.10659733506662333,0.6619576185671039,0.18362491252624213,0.1809700643698308,0.08654338240184406,0.14522274325908557,991,5833,1,0.2,103324,6824,1,current_crc_only,leave_one_gateway_out,00000f0c22433141
0.5936400937866354,0.7229314646147575,0.25083892617449666,0.905146316851665,0.3928180424786512,0.8242780948301558,0.4802171923272789,0.14522274325908557,991,5833,1,0.2,103324,6824,32,without_current_crc,leave_one_gateway_out,00000f0c22433141
0.5558323563892146,0.7058417753610715,0.23561430793157076,0.917255297679112,0.37492266446690037,0.8104357008377991,0.4015763065590368,0.14522274325908557,991,5833,1,0.2,103324,6824,28,without_current_rolling_crc,leave_one_gateway_out,00000f0c22433141
0.854337631887456,0.4997428424481399,0.0,0.0,0.0,0.5055599832748119,0.1457274254602582,0.14522274325908557,991,5833,1,0.2,103324,6824,26,without_all_crc,leave_one_gateway_out,00000f0c22433141
0.8368991793669402,0.5050386618603951,0.18877551020408162,0.03733602421796166,0.062342038753159225,0.49114376378664626,0.15057160633654865,0.14522274325908557,991,5833,1,0.2,103324,6824,8,current_radio_only,leave_one_gateway_out,00000f0c22433141
0.8536049237983587,0.49973306821222996,0.1,0.0010090817356205853,0.001998001998001998,0.499934348273844,0.14931906683992327,0.14522274325908557,991,5833,1,0.2,103324,6824,2,delayed_radio_only,leave_one_gateway_out,00000f0c22433141
0.9101151114376684,0.6907238856515923,0.3716012084592145,0.43617021276595747,0.401305057096248,0.8687663380857221,0.348539962479586,0.06906686260102865,282,3801,1,0.2,106065,4083,33,full_features,leave_one_gateway_out,00800000a0001793
